line_no	entry_id	original_heading	proposed_status	proposed_target	basis
255	110	2026-05-27: R2 recovery shape for worktree teardown cherry-pick conflict on agent's own claim-rename — second occurrence in 5 days, recovery is mechanical  [tag: bellows-integration] [tag: planner-discipline] [tag: operational-recovery]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=4)
317	111	2026-05-27: `Dispatch Mode: standard` rejection — Planner authoring relies on memory rather than mechanized check despite Rule 35 + Plan Authoring Checklist item 3 coverage  [tag: planner-discipline] [tag: plan-authoring] [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=4)
335	112	2026-05-27: Verdict-response filename prefix tolerance — Bellows consumed verdicts with unstripped `diagnostic-` and `executable-` prefixes despite README specifying prefix strip  [tag: bellows-integration] [tag: documentation-drift]	unknown		detector-UNDECIDABLE(ratio=0.00,phrases=0,reason=no_target)
363	113	"2026-05-27: Gate 1 routing rule — medium-confidence proposals flagged as ""Planner-side workaround for daemon bug"" should be rejected and routed to Bellows BACKLOG rather than codified as PLANNER_TEMPLATE governance  [tag: planner-discipline] [tag: lessons-forge] [tag: gate-1-routing]"	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=7)
394	114	2026-05-27: Non-monotonic STEP header labels in Bellows-dispatched plans cause positional/literal misalignment between daemon dispatch and agent prompt lookup  [tag: planner-discipline] [tag: plan-authoring] [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
424	58	2026-05-27: SA dense-content blueprint steps need explicit early-output anchors to avoid ~600-730s inactivity timeouts  [tag: planner-discipline] [tag: plan-shape] [tag: bellows-integration]	pending		no-implemented-proposal
464	59	"2026-05-26: ""Leftover after ship"" pattern — 5th recurrence in 3 days; the discipline catch rate is 100% but the underlying cause is BACKLOG hygiene not running at ship-time  [tag: planner-discipline] [tag: backlog-hygiene] [tag: forge-candidate]"	unknown		detector-UNDECIDABLE(ratio=0.00,phrases=0,reason=no_target)
497	60	2026-05-26: When mining agent step logs for tool-denial events, parse JSON structure; don't grep `raw_output` strings  [tag: planner-discipline] [tag: methodology] [tag: log-mining] [tag: forge-candidate]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
544	61	2026-05-26: Inline `**Deposits:**` blocks with un-prefixed backticked paths silently fail `_extract_plan_required_deposits`  [tag: planner-discipline] [tag: rule-26] [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.86,phrases=0)
581	62	2026-05-26: scope_check trip identified the WRONG file in CEO context, leading to a diagnostic that questioned the right thing but framed the question wrong  [tag: planner-discipline] [tag: pattern-recognition]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.88,phrases=0)
599	63	2026-05-22: Parallel diagnostics against the same project conflict at teardown on shared bookkeeping files  [tag: planner-discipline] [tag: bellows-design]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=4)
626	64	2026-05-22: Pre-scan-style fix-ups must disambiguate filename-overloaded lifecycle states  [tag: planner-discipline] [tag: bellows-design]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.80,phrases=0)
663	65	2026-05-22: Planner manually renamed in-progress-* → verdict-pending-* and triggered re-dispatch loop  [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
680	66	2026-05-22: Bellows-side fix-plan with in-plan filesystem migration is ineffective until daemon restart  [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=2)
708	67	2026-05-20: Phase 1.5 Source 0 (shop_next_session.md) skipped at session start	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
733	68	2026-05-20: Worktree collision — Planner edited a project file while a worktree was active on the same plan	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=2)
760	69	2026-05-20: CEO addenda routed downstream via verdict, not upstream via file edit	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
796	70	2026-05-20: QA-step prompts must reference RULE_20_SELF_CHECK_BLOCK.md, not paraphrase Rule 20	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
825	71	2026-05-27: Timing/ordering hypotheses must be verified against the most recent ordering audit before being asserted	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.86,phrases=6)
848	72	"2026-05-27: ""Empty cherry-pick"" during worktree teardown is not always a teardown failure — fetch origin before recovery"	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
872	73	2026-05-27: Local-vs-origin parallel-SHA divergence is a routine outcome of worktree teardown, not a bug	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
894	74	2026-05-21: STOP-prose recurrence in Bellows-dispatched plans	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
916	75	2026-05-21: Planner specified the WHAT without the WHERE-IT-CONNECTS (field-invention pattern)	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.75,phrases=1)
939	76	2026-05-21: Verdict response filename must mirror request filename byte-for-byte	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
958	77	2026-05-21: Worktree lifecycle hygiene — three discipline rules from a high-friction session	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.83,phrases=0)
1022	78	2026-05-22: BACKLOG defers grounded in Planner-side fallback can be silently invalidated by gate mechanization  [tag: planner-discipline] [tag: governance-design]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
1048	79	2026-05-22: Multi-step diagnostic with `pause_for_verdict: after_step_1` skips intermediate-step CEO review  [tag: planner-discipline] [tag: plan-authoring]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
1076	80	2026-05-22: Bellows plan-content cache is claim-time snapshot; post-claim plan edits do not propagate to downstream agents  [tag: planner-discipline] [tag: bellows-architecture]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
1097	81	2026-05-22: processed-verdict-* renormalization loop on advanced plans  [tag: planner-discipline] [tag: bellows-architecture]	pending		no-implemented-proposal
1114	82	"2026-05-22: Bellows runner log ""(step N)"" label lags actual dispatch state  [tag: planner-discipline]"	unknown		detector-UNDECIDABLE(ratio=0.00,phrases=0,reason=no_target)
1130	83	2026-05-22: Rule 22 (d) hedging-keyword detector false-positive on domain terminology  [tag: planner-discipline] [tag: bellows-design]	pending		no-implemented-proposal
1143	84	2026-05-22: Final-step gate_failure leaves plan stuck — Planner-direct Done move is the recovery  [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
1168	85	2026-05-25: QA-step deposits blocks must declare exactly one `.md` file or the gate misfires  [tag: planner-discipline] [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.80,phrases=3)
1197	86	2026-05-25: Mechanizing a new authoritative data source requires shipping the governance edit that obligates writing it  [tag: planner-discipline] [tag: orchestration-pattern]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.88,phrases=6)
1229	87	2026-05-25: Targeted-scope QA can miss regressions in test files outside the targeted bucket [tag: planner-discipline] [tag: rule-21]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=3)
1254	88	2026-05-25: `git diff --stat` working-tree-vs-index is blind to committed changes; agents commit during steps as standard practice [tag: bellows-architecture]	unknown		detector-UNDECIDABLE(ratio=0.00,phrases=0,reason=no_target)
1269	89	2026-05-26: `pause_for_verdict` accepts only three values; inventing a fourth gets a WARN, not an error [tag: planner-discipline, bellows-architecture]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.80,phrases=1)
1286	90	2026-05-26: Use `**Deposits:**` blocks for ALL agent deposits including QA reports; the prose-fallback parser is fragile [tag: planner-discipline, rule-26]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
1305	91	2026-05-26: Stale priority claims propagate across batons without PROJECT_STATUS cross-check [tag: planner-discipline, baton-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
1323	92	2026-05-26: BACKLOG entries authored from current-state grep without scanning Closed history can misframe already-evaluated work [tag: planner-discipline, backlog-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.89,phrases=0)
1341	93	2026-05-27: Schema migrations shipped in `src/db.py` are not applied to production DB by code commit alone [tag: schema-discipline, forge-architecture]	unknown		conflicting-proposals-quarantined
1359	115	2026-05-29: SA blueprints that add a value to a recognized-set must verify all downstream consumers handle the new value [tag: sa-discipline, blueprint-completeness]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=7)
1377	116	2026-05-29: Bellows `scope_check` gate cannot evaluate plans that delegate file lists to a referenced blueprint [tag: bellows-architecture, planner-discipline]	unknown		conflicting-proposals-quarantined
1403	117	2026-06-03: Lessons Forge `run_full_lessons_cycle` returns every parsed entry in `needs_classification`, not the unclassified subset [tag: lessons-forge, planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
1415	118	2026-06-03: Never re-dispatch a Bellows plan while local `main` carries uncommitted state — it trips the dirty-tree teardown pre-check [tag: planner-discipline, bellows-architecture]	pending		no-implemented-proposal
1427	119	2026-06-06: `pause_for_verdict` must be validated against the daemon's accepted enum before deposit [tag: planner-discipline, bellows-architecture]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
1435	120	2026-06-06: Gate-enforced QA steps must be made unmissable in the prompt, not listed last [tag: planner-discipline, qa-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.75,phrases=3)
1443	121	2026-06-06: Run the FULL test suite during DEV and Planner review — Bellows gates do not include suite-green [tag: planner-discipline, qa-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=7)
1451	122	2026-06-06: `__file__`-relative root constants break under git-worktree execution — resolve via marker walk-up [tag: bellows-architecture, planner-discipline]	unknown		detector-UNDECIDABLE(ratio=0.00,phrases=0,reason=no_target)
1459	123	2026-06-06: Don't inherit the baton's framing — find root cause and downstream effects, cut what doesn't work [tag: planner-discipline]	unknown		conflicting-proposals-quarantined
1468	124	2026-06-09: Never gate a behavior-preservation regression on a composite/score hash when scoring is time-dependent [tag: planner-discipline, anvil]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.67,phrases=0)
1478	125	2026-06-09: Derive the DEV step's allowed-file set from the SA's consumer grep, not a hand-typed expected list [tag: planner-discipline, bellows-architecture]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=3)
1488	126	2026-06-11: Scope enumerations must include the test-infrastructure files implied by new module-level state [tag: planner-discipline, bellows-architecture]	pending		no-implemented-proposal
1498	127	2026-06-11: Don't paraphrase a referenced design artifact's technical specifics inline — the paraphrase becomes the instruction [tag: planner-discipline]	pending		no-implemented-proposal
1508	128	2026-06-11: Convention redefinition requires occurrence-grep, not site enumeration [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.80,phrases=0)
1519	129	2026-06-12: Generator-run verification produces files [tag: planner-discipline]	pending		no-implemented-proposal
1529	130	2026-06-12: Verdict disposition text does not reach the resumed step [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.67,phrases=3)
1540	131	2026-06-12: Gates do not enforce step composition — Position A lives in the Planner's checklist  [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=4)
1551	132	2026-06-14: Agents may emit the Output Receipt inside a tool call, not as bare text [tag: daemon-discipline]	pending		no-implemented-proposal
1562	133	2026-06-14: Bound regex subsection captures — greedy-to-EOF grabs trailing prose [tag: daemon-discipline]	pending		no-implemented-proposal
1573	134	2026-06-14: Live-canary every daemon-write activation; green tests are not enough [tag: process-discipline]	unknown		detector-UNDECIDABLE(ratio=0.00,phrases=0,reason=no_target)
1584	135	2026-06-14: Scope test files generously [tag: planner-discipline]	pending		no-implemented-proposal
1595	136	"2026-07-06: QA substituted evidence source without disclosure — absolute-path URI makes ""worktree has no DB"" a non-reason [tag: qa-discipline]"	learned	FORGE_QA.md	detector-PASS(ratio=0.86,phrases=0)
1606	137	2026-07-06: DB-out-of-git projects need an evidence-source contract in QA steps — per-row DB-source statement [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
1617	138	2026-07-07: Session-limit 429 defeats runner retry-once — pause-and-hold needed [tag: bellows]	pending		no-implemented-proposal
1628	139	2026-07-07: Classifier file-existence claims must be disk-verified before disposition [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
1639	140	2026-07-07: qa_steps header is a step-number list, not a count — copied convention from a degenerate example [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
1650	141	2026-07-16: Never state a bare expected number in plan text — pair every prediction with verify-and-explain [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=9)
1663	142	2026-07-16: High-stakes executables get a drafting cycle — draft off-queue, analyze under named lenses, fold, repeat to diminishing returns [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.88,phrases=0)
1674	143	"2026-07-17: A worktree QA step cannot verify a live-DB migration — it fresh-builds and calls it ""migrated"" [tag: qa-discipline]"	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=6)
1685	144	2026-07-17: Drafting cycle pass 4 — scan the draft against the project's own record; imagination misses what memory catches [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.86,phrases=2)
1696	145	2026-07-17: A region-scoped metric computed unscoped poisons the verdict — the config-2 phantom gap [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.89,phrases=0)
1706	146	2026-07-17: A CURRENT_SCHEMA_VERSION bump always breaks version-pinned assertions — fix them in the SAME DEV step, preserve migration preconditions [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=4)
1716	147	2026-07-19: An instruction that is not a numbered row, a named test, or a gate is an instruction that evaporates [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.75,phrases=6)
1730	148	2026-07-19: Grep presence is not effect — a wired call needs an observed behaviour change, not a source-code match [tag: qa-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
1742	149	2026-07-19: Add an ACID lens to the Drafting Cycle — the four named passes examine requirements individually, none examines them as a system [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.67,phrases=2)
1756	150	2026-07-19: The full Drafting Cycle applies to DIAGNOSTICS, not just executables — its escalation triggers are worded so a read-only plan never trips them [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
1770	151	2026-07-20: A drafting-cycle lens is not done at one pass — iterate until the lens runs dry (0 or minor-only), because folding changes the draft [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.75,phrases=1)
1787	152	2026-07-20: Add a conflict-serializability lens to the Drafting Cycle — model the plan's DB operations as a transaction schedule and check that concurrent execution stays serializable [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.78,phrases=2)
1799	153	2026-07-20: Drafting Cycle lenses have plan-shape-dependent skip-rules — destruction is provably dry on reversible-write plans; integration-vs-record is never skippable [tag: planner-discipline]	pending		no-implemented-proposal
1814	154	2026-07-20: A fix is not done until a full-artifact sweep confirms no sibling instances of the same defect [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=7)
1826	155	2026-07-20: The Drafting Cycle's lens set is OPEN — a novel lens finds what repetition cannot, and a new lens's first fold must be reviewed by the standing lenses [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.80,phrases=5)
1839	156	2026-07-20: Walk the lens list, don't re-run one lens to dry — a fold's defect is usually caught by a DIFFERENT lens reading a DIFFERENT source [tag: planner-discipline]	pending		no-implemented-proposal
1854	157	2026-07-20: A `git status/diff -- <file>` from a submodule or worktree passes VACUOUSLY when the file is tracked by a different repo — use `git -C <the tracking repo>` [tag: qa-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=5)
1864	158	2026-07-21: Parallelism belongs WITHIN a drafting-cycle pass, never ACROSS lenses — across-lens parallelism severs the cumulative property [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.90,phrases=3)
1878	159	2026-07-21: A guard must observe from the tree where the state actually lives — lifecycle state is main-tree-uncommitted and structurally invisible to worktrees [tag: qa-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=2)
1892	160	2026-07-21: Resume machinery is justified only when the interrupted work is NOT reproducible from its recipe — reproducible work gets restore-and-redo [tag: plan-authoring]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=10)
1904	161	2026-07-21: Plan boilerplate inherited from the manual-execution era can instruct the exact act the daemon codifies as a violation [tag: bellows-integration]	pending		no-implemented-proposal
1918	162	2026-07-21: A novel lens reliably finds the right WINDOW and reliably ships a broken MECHANISM — sequence a standing lens behind its fold [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
1933	163	2026-07-21: Context saturation is a reviewer failure mode — when late walks go quiet, rotate the reviewer, not the lens [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.83,phrases=4)
1945	164	2026-07-21: A verification check that can FALSE-FAIL is a different risk class — execute it against live data before the plan ships [tag: qa-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=3)
1957	165	"2026-07-21: The drafting cycle cannot validate an executable check — and a fold that ""hardens"" one cements its blind spot [tag: planner-discipline]"	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=2)
1968	166	2026-07-22: Finding a halted plan's successor is a three-rung ladder, and the rung is chosen by the title's shape [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=2)
1980	167	2026-07-22: A diagnostic's substance is FINDINGS, not code — disposition methods built for executables mis-handle them silently [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.86,phrases=0)
1992	168	2026-07-22: A directory-declared deposit makes `landed` and path-resolution unfalsifiable — it needs a third outcome, not a boolean [tag: qa-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=2)
2004	169	2026-07-22: The shell's `grep` is ignore-aware, so completeness sweeps silently under-report — and the un-ignored form is slow enough to time a step out [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
2016	170	2026-07-22: A remedy for a correctly-identified defect reliably carries a new defect — test the fix against the same lens and data that found the original [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=2)
2030	171	2026-07-22: Verify a plan by RUNNING its procedure on real data, not by checking whether its claims are true — the two are different audits [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=3)
2042	172	2026-07-22: Restructuring a plan for DRY (splitting, or extracting shared content) trades duplication for a consistency surface that then needs its own hardening [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.90,phrases=0)
2056	173	2026-07-22: Generalising a concrete guard into an inference waters it down when the specific value carried information the general phrasing does not [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.78,phrases=0)
2068	174	2026-07-22: The finished deliverable's physical shape is a question none of the instruction-lenses asks — inspect the output form separately [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
2080	175	2026-07-22: Read the record before deriving — three times in one cycle a method or fact was reconstructed empirically that was already codified, twice in a file the plan already cited [tag: planner-discipline]	pending		no-implemented-proposal
2090	176	2026-07-22: A Bellows-dispatched step's OUTPUT files must be written at paths relative to the agent's own working tree; absolute main-tree paths are correct for canonical-DB READS and wrong for deposit WRITES [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=6)
2100	177	2026-07-22: The five adversarial lenses do not check a plan against the codified authoring rules — a mechanical conformance pass belongs in the drafting cycle [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=6)
2110	178	2026-07-22: A plan's pre-stated conclusions anchor the executing agent toward them — and toward the cheapest disposition; each must carry the same evidence burden and a mandatory verification the agent can falsify [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.85,phrases=5)
2123	179	2026-07-24: The Drafting Cycle's five lenses are written for executables — a read-only diagnostic under-exercises Destruction and ACID, which need diagnostic-mode residues [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.67,phrases=1)
2133	180	"2026-07-24: §2 implies but does not STATE ""run each lens against the prior lens's folded draft, never batch"" — the gap let the Planner batch a walk twice in one session [tag: planner-discipline]"	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.67,phrases=5)
2143	181	2026-07-24: The §4 plan_lint closing-line self-check is a gameable substring heuristic — it should read the last lens line's status, not the closing prose [tag: bellows-integration]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.86,phrases=4)
2153	182	2026-07-24: DRAFTING_CYCLE.md §3's own T0 cycle_tier format example TRIPS the §4 plan_lint regex — a live doc-vs-gate contradiction [tag: bellows-integration]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=1.00,phrases=0)
2163	183	2026-07-27: When cloning a plan, diff its machinery against the NEWEST same-class plan, not just the origin you copied — clone-drift accrues against the latest hardening [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.62,phrases=5)
2175	184	2026-07-27: Choose the QA Rule 20 self-check FORM by plan class — full canonical block + real evidence files for a doc/DB plan, simple banner for a move-only plan; a full-form mandate with no evidence files is an unsatisfiable, plan-halting QA step [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=5)
2187	185	2026-07-28: A fold lands where the defect was NOTICED, not everywhere the changed thing is DESCRIBED — sweep every site before closing the fold [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=4)
2199	186	2026-07-28: Review attention follows CHURN, not RISK — the step that mutates can go unreviewed while the step that only reads is polished [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.83,phrases=0)
2211	187	2026-07-28: The granularity of a verification must match the granularity of the change it certifies [tag: planner-discipline]	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.50,phrases=2)
2223	188	2026-07-28: READ the cited rule; do not recall it — seven folds in one cycle came from this single move [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=3)
2235	189	"2026-07-28: DRAFTING_CYCLE.md §3's ""compact"" is load-bearing — a narrative Cycle Log becomes an instruction surface inside the final step's span [tag: bellows-integration]"	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.88,phrases=0)
2247	190	"2026-07-28: plan_lint's §4 Drafting-Cycle check has four independent defects — three of its sub-checks cannot fail and the closing check inverts on ""NOT dry"" [tag: bellows-integration]"	learned	DRAFTING_CYCLE.md	detector-PASS(ratio=0.86,phrases=2)
